formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C15H33NO8	[M + H]+	C15H34NO8+	Fatty acids	0.570	Polyols	0.224	Amino cyclitols	0.079	Organic oxygen compounds	0.999	Organooxygen compounds	0.997	Ethers	0.994	Dialkyl ethers	0.988	Dialkyl ethers	0.988	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	356.228	340	5.665	857318863174508317	857316080962006491	857316080957812186	6250	
2	C21H47N3O5	[M + K]+	C21H47KN3O5+	Fatty acids	0.632	Ornithine alkaloids	0.196	Polyamines	0.200	Organic oxygen compounds	0.990	Organooxygen compounds	0.971	Ethers	0.875	Dialkyl ethers	0.915	Dialkyl ethers	0.915	Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Dialkyl ethers; Amines; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	460.312	340	5.667	857318886146711492	857316081020726751	857316081016532446	6266	
1	C18H38O10	[M + H]+	C18H39O10+	Fatty acids	0.836	Fatty acyls	0.521	Fatty alcohols	0.436	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.994	Dialkyl ethers	0.994	Polyethylene glycols	0.995	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	415.254	341	5.680	857318858430750410	857316081071058403	857316081071058402	6260	
1	C14H30O7	[M + H]+	C14H31O7+	Fatty acids	0.997	Glycerolipids	0.874	Fatty alcohols	0.653	Lipids and lipid-like molecules	0.695	Glycerolipids	0.472	Glycerol ethers	0.637			Glycerol ethers	0.637	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Polyols; Glycerol ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	311.206	350	5.829	857318882552192933	857316081138167271	857316081133972966	6396	
1	C14H15N	[M + H]+	C14H16N+	Alkaloids	0.906	Tyrosine alkaloids	0.241	Phenylethylamines	0.227	Benzenoids	0.999	Benzene and substituted derivatives	0.991	Phenylmethylamines	0.920			Phenylmethylamines	0.920	Organic compounds; Phenylmethylamines; Organonitrogen compounds; Dialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Benzylamines; Aralkylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	198.128	354	5.898	857318862759272211	857316081201081835	857316081196887530	6524	
1	C23H45N5O7	[M + H]+	C23H46N5O7+	Amino acids and Peptides	0.725	Oligopeptides	0.814	Cyclic peptides	0.623	Organic acids and derivatives	0.986	Carboxylic acids and derivatives	0.959	Carboxylic acid derivatives	0.942	Carboxylic acid amides	0.928	Secondary carboxylic acid amides	0.679	Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	504.338	355	5.919	857318898192752688	857316081255607791	857316081255607790	6653	
5	C17H31N5O3	[M + CH2O2 + H]+	C18H34N5O5+	Carbohydrates	0.472	Small peptides	0.321	Purine nucleosides	0.284	Organic acids and derivatives	0.669	Carboxylic acids and derivatives	0.531	Amino acids, peptides, and analogues	0.535	Amino acids and derivatives	0.531	Amino acids and derivatives	0.531	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	400.254	357	5.955	857318887195287519	857316081322716659	857316081318522354	6703	
2	C5H11N3	[M + Na]+	C5H11N3Na+	Alkaloids	0.798	Nicotinic acid alkaloids	0.317	Pyridine alkaloids	0.318	Organoheterocyclic compounds	0.636	Azacyclic compounds	0.641					Azacyclic compounds	0.641	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	136.084	359	5.980	857318893730013198	857316081373048311	857316081373048310	6753	
1	C7H12O2	[M + H]+	C7H13O2+	Fatty acids	0.997	Fatty esters	0.907	Lactones	0.782	Lipids and lipid-like molecules	0.508	Fatty Acyls	0.553					Fatty Acyls	0.553	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	129.091	361	6.009	857318880840916899	857316081423379963	857316081423379962	6725	
1	C13H25N	[M + H]+	C13H26N+	Alkaloids	0.797	Pseudoalkaloids (transamidation)	0.351	Acetate-derived alkaloids	0.485	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Cyclohexylamines	0.955			Cyclohexylamines	0.955	Organic compounds; Organonitrogen compounds; Dialkylamines; Amines; Secondary amines; Cyclohexylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	196.206	362	6.025	857318863040290588	857316081473711615	857316081473711614	6824	
1	C14H30O7	[M + H]+	C14H31O7+	Fatty acids	0.996	Glycerolipids	0.689	Fatty alcohols	0.769	Lipids and lipid-like molecules	0.574							Lipids and lipid-like molecules	0.574	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Polyols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	311.206	365	6.077	857318867968597831	857316081524043267	857316081519848962	7024	
1	C27H53N5O9	[M + H]+	C27H54N5O9+	Amino acids and Peptides	0.856	Oligopeptides	0.934	Cyclic peptides	0.778	Organic acids and derivatives	0.983	Carboxylic acids and derivatives	0.951	Amino acids, peptides, and analogues	0.577	Amino acids and derivatives	0.541	Amino acids and derivatives	0.541	Organic compounds; Amino acids, peptides, and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	592.390	366	6.105	857318904022835268	857316081578569223	857316081578569222	6911	
1	C20H37N5O6	[M + H]+	C20H38N5O6+	Amino acids and Peptides	0.860	Oligopeptides	0.732	Cyclic peptides	0.483	Organic acids and derivatives	0.832	Carboxylic acids and derivatives	0.696	Carboxylic acid derivatives	0.666	Carboxylic acid amides	0.736	Secondary carboxylic acid amides	0.524	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	444.280	367	6.121	857318866513174332	857316081687621135	857316081683426830	7097	
1	C13H25N	[M + H]+	C13H26N+	Alkaloids	0.741	Pseudoalkaloids (transamidation)	0.259	Acetate-derived alkaloids	0.325	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Cyclohexylamines	0.949			Cyclohexylamines	0.949	Organic compounds; Organonitrogen compounds; Dialkylamines; Amines; Secondary amines; Cyclohexylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	196.206	368	6.140	857318855385685657	857316081742147091	857316081737952786	7085	
1	C16H34O8	[M + H]+	C16H35O8+	Fatty acids	0.990	Glycerolipids	0.921	Monoacylglycerols	0.514	Lipids and lipid-like molecules	0.332	Glycerolipids	0.570	Glycerol ethers	0.687			Glycerol ethers	0.687	Organic compounds; Alcohols and polyols; Glycerolipids; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Glycerol ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	355.233	371	6.175	857318884099891119	857316081809255959	857316081809255958	7041	
1	C16H35NO7	[M + H]+	C16H36NO7+	Fatty acids	0.440	Ornithine alkaloids	0.045	Polyamines	0.030	Organic oxygen compounds	0.997	Organooxygen compounds	0.995	Ethers	0.985	Dialkyl ethers	0.989	Polyethylene glycols	0.822	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Polyethylene glycols; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	354.249	373	6.210	857318872271953767	857316081884753435	857316081884753434	7332	
1	C7H10	[M + H]+	C7H11+	Fatty acids	0.709	Fatty acyls	0.680	Hydrocarbons	0.144	Hydrocarbons	0.988	Unsaturated hydrocarbons	0.935	Olefins	0.578			Olefins	0.578	Organic compounds; Hydrocarbons; Olefins; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Chemical entities	95.086	374	6.228	857318858380418761	857316081951862303	857316081951862302	7325	
1	C8H13ClF2N2O	[M + H]+	C8H14ClF2N2O+	Alkaloids	0.536	Histidine alkaloids	0.118	Imidazole alkaloids	0.114	Organohalogen compounds	1.000	Aryl halides	0.660	Aryl chlorides	0.675			Aryl chlorides	0.675	Organic compounds; Organoheterocyclic compounds; Pyrazoles; Ethers; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Aryl chlorides; Organochlorides; Organofluorides; Aryl halides; Alkyl halides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	227.074	374	6.233	857318885010055097	857316082014776867	857316082014776866	7222	
2	C36H53N5O5	[M + H]+	C36H54N5O5+	Amino acids and Peptides	0.904	Oligopeptides	0.833	Linear peptides	0.419	Organic acids and derivatives	0.993	Carboxylic acids and derivatives	0.984	Amino acids, peptides, and analogues	0.956	Amino acids and derivatives	0.948	Alpha amino acid amides	0.662	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	636.416	377	6.291	857318878177533836	857316082069302823	857316082065108518	7441	
1	C17H21NO4	[M + H]+	C17H22NO4+	Alkaloids	1.000	Ornithine alkaloids	0.998	Tropane alkaloids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.995	Amino acids and derivatives	0.995	Amino acids and derivatives	0.995	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Benzoic acids and derivatives; Piperidines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Tropane alkaloids; Carboxylic acid derivatives; Carboxylic acid esters; Benzoic acid esters; Carbonyl compounds; Piperidinecarboxylic acids and derivatives; Trialkylamines; Benzene and substituted derivatives; Piperidinecarboxylic acids; Benzenoids; Amines; Tertiary amines; Methyl esters; N-alkylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	304.154	381	6.357	857318896531808284	857316082123828779	857316082119634474	7590	
1	C9H6O3	[M + H]+	C9H7O3+	Shikimates and Phenylpropanoids	0.673	Coumarins	0.630	Simple coumarins	0.409	Benzenoids	0.974							Benzenoids	0.974	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organooxygen compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	163.039	382	6.368	857318886570336205	857316082182549039	857316082182549038	7592	
1	C16H24O4	[M + H]+	C16H25O4+	Polyketides	0.292	Sesquiterpenoids	0.303	Bisabolane sesquiterpenoids	0.214	Benzenoids	0.765	Phenol ethers	0.675	Anisoles	0.529			Anisoles	0.529	Organic compounds; Lipids and lipid-like molecules; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	281.175	383	6.380	857318865644953394	857316082241269299	857316082241269298	7605	
1	C10H16O2	[M + H]+	C10H17O2+	Fatty acids	0.988	Fatty acyls	0.913	Fatty aldehydes	0.550	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbonyl compounds	0.967	Ketones	0.875	Ketones	0.875	Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	169.122	383	6.388	857318872997568369	857316082299989559	857316082299989558	7622	
1	C17H21NO	[M + H]+	C17H22NO+	Alkaloids	0.972	Tryptophan alkaloids	0.892	Carbazole alkaloids	0.347	Organoheterocyclic compounds	0.995	Indoles and derivatives	0.664	Indoles	0.524			Indoles	0.524	Organic compounds; Organoheterocyclic compounds; Pyrroles; Ketones; Indoles and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	256.170	387	6.453	857318889061752816	857316082358709819	857316082358709818	7613	
6	C14H28N3O3P	[M + H]+	C14H29N3O3P+	Alkaloids	0.645	Pseudoalkaloids (transamidation)	0.166	Imidazole alkaloids	0.086	Organic oxygen compounds	0.999	Organooxygen compounds	0.984	Ethers	0.839	Dialkyl ethers	0.831	Dialkyl ethers	0.831	Organic compounds; Organoheterocyclic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Dialkyl ethers; Amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	318.196	388	6.465	857318871470841698	857316082417430079	857316082417430078	7727	
4	C30H59N9O7	[M + Na]+	C30H59N9NaO7+	Amino acids and Peptides	0.993	Oligopeptides	0.994	Cyclic peptides	0.790	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.991	Amino acids, peptides, and analogues	0.969	Peptides	0.838	Oligopeptides	0.652	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	680.442	388	6.470	857318876545949572	857316082471956035	857316082467761730	7735	
1	C18H38O9	[M + H]+	C18H39O9+	Fatty acids	0.980	Glycerolipids	0.824	Fatty alcohols	0.573	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.997	Dialkyl ethers	0.993	Polyethylene glycols	0.709	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	399.259	389	6.476	857318875937775479	857316082526481991	857316082526481990	7665	
1	C7H7N3	[M + H]+	C7H8N3+	Alkaloids	0.859	Nicotinic acid alkaloids	0.324	Pyridine alkaloids	0.324	Organoheterocyclic compounds	0.999	Benzotriazoles	0.988					Benzotriazoles	0.988	Organic compounds; Organoheterocyclic compounds; Triazoles; Organonitrogen compounds; Benzotriazoles; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	134.071	390	6.505	857318890588479493	857316082656505423	857316082656505422	7792	
1	C11H10O3	[M + H]+	C11H11O3+	Shikimates and Phenylpropanoids	0.915	Phenylpropanoids (C6-C3)	0.797	Cinnamic acids and derivatives	0.842	Benzenoids	0.967	Benzene and substituted derivatives	0.855					Benzene and substituted derivatives	0.855	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	191.070	391	6.510	857318898264055866	857316082593590859	857316082589396554	7716	
1	C18H39NO8	[M + H]+	C18H40NO8+	Fatty acids	0.779	Fatty amides	0.079	Sphingoid bases	0.082	Organic oxygen compounds	0.992	Organooxygen compounds	0.980	Ethers	0.971	Dialkyl ethers	0.970	Polyethylene glycols	0.658	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Polyethylene glycols; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	398.275	391	6.519	857318895701336081	857316082711031379	857316082711031378	7830	
11	C18H32O2	[M + H]+	C18H33O2+	Fatty acids	0.990	Fatty Acids and Conjugates	0.556	Fatty alcohols	0.434	Lipids and lipid-like molecules	0.894	Fatty Acyls	0.901	Fatty acids and conjugates	0.638	Long-chain fatty acids	0.738	Long-chain fatty acids	0.738	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	281.175	392	6.529	857318935014547544	857316082765557335	857316082765557334	7834	
2	C10H10O3	[M - H2O + H]+	C10H9O2+	Shikimates and Phenylpropanoids	0.254	Fatty Acids and Conjugates	0.082	Oxo fatty acids	0.060	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbonyl compounds	1.000	Ketones	0.987	Alkyl-phenylketones	0.966	Organic compounds; Lipids and lipid-like molecules; Ketones; 1,3-dicarbonyl compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Butyrophenones; Keto acids and derivatives; Gamma-keto acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl ketones; Aryl alkyl ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; Chemical entities	161.060	393	6.549	857320067875096633	857316082820083291	857316082820083290	7873	
1	C11H10O3	[M + H]+	C11H11O3+	Shikimates and Phenylpropanoids	0.921	Phenylpropanoids (C6-C3)	0.880	Cinnamic acids and derivatives	0.896	Benzenoids	0.960	Benzene and substituted derivatives	0.755					Benzene and substituted derivatives	0.755	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	191.071	395	6.587	857320075114465595	857316082874609247	857316082874609246	7946	
1	C10H14O3	[M + H]+	C10H15O3+	Fatty acids	0.943	Fatty Acids and Conjugates	0.349	Oxo fatty acids	0.281	Lipids and lipid-like molecules	0.489	Fatty Acyls	0.553					Fatty Acyls	0.553	Organic compounds; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	183.102	396	6.597	857320094852867882	857316082929135203	857316082924940898	7886	
1	C8H12O2	[M + H]+	C8H13O2+	Fatty acids	0.977	Fatty acyls	0.622	Oxygenated hydrocarbons	0.383	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbonyl compounds	0.975	1,3-dicarbonyl compounds	0.514	1,3-dicarbonyl compounds	0.514	Organic compounds; Ketones; 1,3-dicarbonyl compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	141.091	396	6.606	857320076670552390	857316082983661159	857316082979466854	7966	
4	C10H10BrFO2	[M + C2H3N + H]+	C12H14BrFNO2+	Fatty acids	0.095	Fatty Acids and Conjugates	0.099	Halogenated fatty acids	0.064	Benzenoids	0.999	Benzene and substituted derivatives	0.996	Halobenzenes	0.996	Bromobenzenes	0.985	Bromobenzenes	0.985	Organic compounds; Halobenzenes; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl bromides; Aryl fluorides; Bromobenzenes; Fluorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organobromides; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	302.020	396	6.606	857320129887889997	857316083038187115	857316083038187114	8001	
4	C4H12O2Si2	[M + C2H3N + H]+	C6H16NO2Si2+	Fatty acids	0.491	Fatty acyls	0.298	Halogenated fatty acids	0.097	Organometallic compounds	0.628	Organometalloid compounds	0.628					Organometalloid compounds	0.628	Organic compounds; Organometallic compounds; Organometalloid compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	190.071	396	6.607	857320125643253925	857316083096907375	857316083092713070	8003	
1	C4H12O2Si2	[M + H]+	C4H13O2Si2+	Fatty acids	0.468	Fatty acyls	0.229	Halogenated fatty acids	0.092	Organometallic compounds	0.615	Organometalloid compounds	0.615					Organometalloid compounds	0.615	Organic compounds; Organometallic compounds; Organometalloid compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	149.045	396	6.608	857320101161101445	857316083164016243	857316083159821938	8000	
3	C6H14OS2	[M + H]+	C6H15OS2+	Fatty acids	0.973	Fatty acyls	0.897	Fatty alcohols	0.336	Organosulfur compounds	1.000	Sulfoxides	0.727					Sulfoxides	0.727	Organic compounds; Organosulfur compounds; Sulfoxides; Sulfinyl compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	167.056	397	6.609	857320118672320649	857316083231125111	857316083231125110	8002	
1	C5H12O3Si2	[M + H]+	C5H13O3Si2+	Fatty acids	0.582	Fatty acyls	0.244	Halogenated fatty acids	0.207	Organometallic compounds	0.644	Organometalloid compounds	0.644					Organometalloid compounds	0.644	Organic compounds; Organometallic compounds; Organometalloid compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	177.040	397	6.610	857320124712118423	857316083289845371	857316083289845370	7989	
2	C14H25N7O3	[M + H]+	C14H26N7O3+	Alkaloids	0.421	Nucleosides	0.227	Purine nucleosides	0.084	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.986	Tertiary amines	0.764	Dialkylarylamines	0.767	Organic compounds; Organoheterocyclic compounds; Triazines; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Aminotriazines; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Dialkylarylamines; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	340.209	397	6.622	857320168563567238	857316083344371327	857316083340177022	8049	
1	C11H20N2O2	[M + H]+	C11H21N2O2+	Alkaloids	0.164	Small peptides	0.065	Aminoacids	0.020	Organoheterocyclic compounds	0.999	Oxazinanes	1.000	Morpholines	1.000	Morpholine carboxylic acids and derivatives	0.995	Morpholine carboxylic acids and derivatives	0.995	Organic compounds; Organoheterocyclic compounds; Oxazinanes; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Morpholines; Ureas; Dialkyl ethers; Carbonyl compounds; Morpholine carboxylic acids and derivatives; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	213.160	398	6.627	857320137215339099	857316083407285891	857316083407285890	8012	
1	C11H20N2O2	[M + H]+	C11H21N2O2+	Alkaloids	0.164	Small peptides	0.065	Aminoacids	0.020	Organoheterocyclic compounds	0.999	Oxazinanes	1.000	Morpholines	1.000	Morpholine carboxylic acids and derivatives	0.995	Morpholine carboxylic acids and derivatives	0.995	Organic compounds; Organoheterocyclic compounds; Oxazinanes; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Morpholines; Ureas; Dialkyl ethers; Carbonyl compounds; Morpholine carboxylic acids and derivatives; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	213.160	403	6.721	857320140906326635	857316083478589063	857316083474394758	8226	
